,id,month,day,hour,latitude,longitude,sea_surface_temp
591,12039818,4,1,18.47,13.92,-179.99,26.3
7133,19235811,2,7,4.32,-15.72,-179.96,27.5
2281,18763545,2,23,21.17,36.8,-179.95,14.8
758,10761738,10,23,14.0,0.05,-179.94,24.174999999999997
2776,10881565,7,27,20.0,0.03,-179.93,24.574999999999996
6205,14819116,12,25,7.0,0.03,-179.93,24.708333333333332
5288,7261170,2,8,2.0,4.98,-179.92,28.1
5501,11123084,5,4,21.0,4.99,-179.92,28.3
3553,16237791,6,7,6.0,0.04,-179.91,28.3
5159,10755289,6,23,5.0,0.05,-179.91,29.2
6622,2313256,2,10,9.0,7.99,-179.91,27.6
3133,14011545,8,31,4.0,-2.0,-179.9,28.74
5939,8887536,7,27,21.0,5.0,-179.9,28.856666666666666
149,17373169,6,11,20.0,7.99,-179.9,28.0
8317,15315498,8,9,2.0,8.0,-179.9,30.6
3203,7447084,4,14,19.0,-4.97,-179.89,29.0
5254,9623159,9,19,15.0,5.0,-179.89,28.299999999999997
2909,11394249,5,12,23.0,-1.99,-179.88,28.6
3520,2297268,4,9,22.0,-2.01,-179.87,28.1
1187,18284735,1,8,15.7,25.25,-179.87,25.5
3828,10115523,1,4,1.5,40.44,-179.87,11.5
9810,1971175,6,30,10.0,-7.97,-179.86,29.2
2197,18138118,1,4,3.0,7.97,-179.86,27.9
5500,19610824,10,18,8.0,-7.98,-179.85,29.8
6603,7721689,11,22,23.0,-7.98,-179.84,30.3
278,5747031,10,23,16.0,2.02,-179.83,29.3
5709,6099624,12,3,8.0,2.02,-179.83,28.7
7806,14681589,11,21,12.0,2.02,-179.83,29.3
7926,7497959,10,15,10.0,2.02,-179.83,29.5
7611,1515405,1,16,9.0,2.02,-179.81,27.7
2147,12860333,3,26,6.78,30.75,-179.61,19.5
784,18201400,2,6,13.25,-9.33,-179.53,29.1
6628,16896353,9,27,8.0,-38.9,-179.5,13.5
2145,17955235,12,29,6.0,17.9,-179.5,28.0
3641,19857212,6,26,6.05,-5.47,-179.44,29.6
5546,5280936,4,9,17.1,-13.77,-179.37,29.1
9151,1272625,2,9,2.88,18.45,-179.3,26.2
6584,16856328,3,26,6.67,36.93,-179.2,15.3
2898,5084181,1,3,18.52,-42.77,-179.12,15.1
2824,14521664,3,16,18.93,19.67,-178.95,25.7
4631,1057725,4,2,9.33,-24.95,-178.88,26.0
7592,6773478,8,24,12.62,-9.64,-178.86,28.4
2314,13017583,7,31,21.83,32.53,-178.86,25.1
7899,435959,3,14,14.78,34.48,-178.85,16.3
1981,7804840,7,25,10.02,-14.83,-178.84,27.4
2340,9650154,2,20,5.8,-9.74,-178.81,29.2
6637,19969968,5,29,2.68,37.98,-178.68,16.1
5520,13237035,3,7,8.17,39.87,-178.6,11.2
4170,11054246,10,2,8.45,-9.5,-178.54,29.5
4149,5003345,7,31,18.5,-45.12,-178.52,9.5
5309,1348085,11,11,6.0,69.4,-178.5,18.26666666666667
6118,9332022,3,10,16.17,39.47,-178.36,11.7
714,635581,1,20,7.0,28.4,-178.3,21.0
1883,11776540,8,24,18.0,28.4,-178.3,26.7
6609,10850788,8,26,17.0,28.4,-178.3,27.1
5286,10192821,7,6,21.62,-5.85,-178.13,29.0
5071,10479635,8,15,16.95,-6.7,-178.02,29.3
1020,3834962,10,26,19.93,-11.35,-177.94,29.2
3481,5743674,8,23,3.27,-10.51,-177.87,28.4
9770,11795648,5,24,16.58,-14.82,-177.83,28.8
7381,17396018,9,12,15.5,-45.7,-177.8,8.9
