,id,month,day,hour,latitude,longitude,sea_surface_temp
8557,15025270,1,1,1.17,48.29,-4.97,12.5
9920,17051627,1,1,1.17,18.5,-66.1,19.248426150121063
492,3020004,1,1,1.77,-33.92,-130.29,22.3
2245,19050620,1,1,3.0,52.9,-139.8,6.0
8829,10021932,1,1,3.07,26.64,122.66,21.2
2378,21728,1,1,4.0,-11.5,-147.77,27.9
1065,7016485,1,1,5.5,-21.89,-113.99,25.2
1039,5039578,1,1,6.0,38.5,-74.7,10.0
9547,13047735,1,1,6.0,42.59,-87.81,19.248426150121063
7256,4012969,1,1,7.08,35.21,-60.91,20.7
1643,10036946,1,1,9.0,30.4,-87.21,16.4
3119,7039693,1,1,9.33,34.63,-69.67,20.5
9200,14040788,1,1,9.43,-22.41,-34.76,24.9
6672,18058177,1,1,10.0,39.58,-75.59,6.1
2593,14036266,1,1,10.13,60.23,-32.47,6.3
5097,10017626,1,1,11.17,-46.75,151.14,12.4
2606,14049002,1,1,13.0,41.52,-70.67,6.8
3821,10023988,1,1,14.2,21.7,-158.1,24.0
247,15033920,1,1,14.38,-12.57,-88.92,22.2
3032,18679,1,1,15.0,41.3,-72.1,9.4
7148,15045685,1,1,15.0,17.0,-81.7,19.248426150121063
5323,8024761,1,1,17.0,-2.02,155.98,29.3
4526,4026068,1,1,19.67,32.33,162.59,18.9
3950,19064018,1,1,19.83,22.17,122.76,24.3
7528,18036879,1,1,19.83,33.4,-77.7,18.8
2866,12025949,1,1,21.0,44.45,-30.44,13.8
96,2003897,1,1,21.97,31.21,155.07,19.3
2678,1015413,1,1,22.0,38.87,-77.02,6.4
8778,11030098,1,1,22.67,-38.89,76.29,16.8
634,13083414,1,2,0.0,26.05,-81.7,19.248426150121063
2045,7066769,1,2,0.0,12.8,-17.5,22.8
5889,18064923,1,2,0.58,18.4,-67.3,19.248426150121063
1606,14061595,1,2,0.72,35.88,-145.2,17.5
3165,5056829,1,2,3.0,-1.61,90.11,28.6
4492,15083765,1,2,4.0,25.9,-77.8,26.4
3830,5055570,1,2,4.33,27.2,-82.9,19.248426150121063
4555,13059003,1,2,5.93,5.38,-173.45,27.8
1496,13071251,1,2,6.03,34.5,-120.8,13.3
4439,1041596,1,2,6.17,-32.63,-102.34,20.7
4558,10062885,1,2,7.32,41.0,-73.6,19.248426150121063
4859,13060259,1,2,8.35,-44.32,146.17,16.5
1260,7053517,1,2,8.83,-24.96,48.85,26.4
9803,9067946,1,2,9.0,-5.2,150.3,30.3
1030,17080083,1,2,9.75,41.0,-73.6,19.248426150121063
7759,13073214,1,2,10.17,36.57,-32.62,18.8
95,7051308,1,2,11.0,-30.98,100.91,19.9
759,1049502,1,2,11.0,52.5,-128.8,19.248426150121063
1390,10071100,1,2,11.0,42.36,-87.81,19.248426150121063
5726,8073163,1,2,11.0,50.7,-127.5,19.248426150121063
7373,3048816,1,2,12.15,-39.7,96.76,13.9
8134,13054682,1,2,12.83,75.89,-3.08,0.5
377,18092173,1,2,13.0,58.7,1.4,19.248426150121063
1682,16081944,1,2,15.0,27.9,-93.6,22.0
7699,11070999,1,2,15.0,52.5,-128.8,19.248426150121063
4008,51840,1,2,15.25,13.4,144.8,28.5
2653,15072493,1,2,15.83,46.1,-131.0,19.248426150121063
8524,6046417,1,2,16.0,-53.9,-33.7,2.4
1859,1057389,1,2,17.0,54.4,-132.4,6.7
3312,8058046,1,2,19.0,28.93,-95.3,15.2
8623,18071528,1,2,19.33,35.39,-48.87,20.4
2794,5062825,1,2,21.0,70.4,-148.53,19.248426150121063
4317,16063200,1,2,21.5,18.59,112.4,24.3
6703,17069327,1,2,22.0,46.55,-87.38,19.248426150121063
9219,2051646,1,2,22.0,-28.65,6.45,20.1
1249,18087589,1,2,22.07,28.89,-90.02,19.248426150121063
2528,10049945,1,2,23.33,31.39,179.93,21.4
2230,1038554,1,2,23.35,37.8,-122.8,11.9
6340,4081022,1,3,1.17,47.01,-163.36,6.8
786,9102562,1,3,3.33,-40.14,137.11,17.3
9030,19115927,1,3,7.0,28.5,-80.2,21.9
8094,15094138,1,3,9.0,21.95,-159.36,25.1
835,14117483,1,3,10.0,36.8,-122.0,11.8
3433,14116927,1,3,10.17,18.3,-64.8,19.248426150121063
7851,15107553,1,3,13.0,44.3,-67.3,7.6
9037,5098936,1,3,13.0,5.5,0.0,19.248426150121063
795,14090721,1,3,14.0,48.5,-124.7,8.3
664,7083024,1,3,14.67,-55.63,-15.79,2.1
356,7077331,1,3,15.7,45.47,-154.4,8.5
1300,4082639,1,3,17.07,7.37,140.02,29.0
8563,19110931,1,3,18.0,17.94,-67.05,27.2
2898,5084181,1,3,18.52,-42.77,-179.12,15.1
3943,2101181,1,3,19.0,17.78,-64.76,27.1
4614,11106481,1,3,19.0,37.89,-122.45,19.248426150121063
5000,19116590,1,3,19.0,43.2,5.3,14.2
9255,1089457,1,3,20.63,32.5,-117.4,15.0
9022,18102512,1,3,21.37,21.3,-158.1,24.7
92,9096155,1,3,23.18,37.8,-122.6,11.0
1922,2116626,1,4,0.0,-37.89,-7.34,16.1
9919,2102819,1,4,0.5,-32.51,-99.6,21.4
3828,10115523,1,4,1.5,40.44,-179.87,11.5
2197,18138118,1,4,3.0,7.97,-179.86,27.9
9637,15122775,1,4,3.0,41.28,-72.91,6.4
1717,17127631,1,4,3.33,34.75,-168.6,17.5
9549,17143710,1,4,3.95,-14.68,-116.51,25.6
6112,1117635,1,4,4.0,58.3,0.0,19.248426150121063
8293,19143585,1,4,4.0,-44.95,86.62,11.7
1072,17151955,1,4,5.0,34.8,-6.8,17.7
7596,16132436,1,4,5.0,-10.56,71.4,28.9
358,13129549,1,4,7.23,32.9,-117.4,15.0
2857,7125041,1,4,7.83,24.3,-162.0,19.248426150121063
1702,6109176,1,4,8.0,47.3,-57.3,3.3
2092,15152630,1,4,8.0,57.0,1.9,19.248426150121063
