id,month,day,hour,latitude,longitude,sea_surface_temp
5205280,10,7,18,30.6,-54.1,25
11278051,1,9,11.48,50,-145.1,6.5
16979207,4,30,4.83,55.1,175.3,
649620,5,20,21,38.22,-122.03,
16628751,7,19,0,35.76,-42.25,
8672018,6,21,23,65.7,-24.8,
8951811,1,29,18.5,46.67,-7.23,12.5
5968363,4,30,23,38.43,-76.39,
7303425,6,9,10.17,-37.52,41.39,18.3
14637393,4,19,0,37.8,-122.33,
4945399,9,29,10.43,26.58,-35.96,26.7
19776559,11,23,6,5.02,155.97,29.7
10386437,1,12,11,36.96,-76.43,
11626694,7,19,23,28.45,-96.4,29.8
10060249,2,2,23,58,-150,4
13888158,4,27,7.17,-10.55,3.26,25.8
15848361,2,26,20,-32.7,30.42,25.8
7469091,12,14,7,38.06,-122.26,
12746507,8,23,17.17,-33.37,-140.11,16.4
19356996,8,10,0,56.2,-153.9,
14847878,6,26,7.42,-32.98,-137.36,17.8
2982378,9,30,23,37.54,-76.02,
11982978,9,30,3,46.71,-123.97,15.4
17944979,12,28,4,50.35,-135.35,7.6
12013579,3,31,13,47.1,-86.4,3.3
17558310,5,17,17.8,36.92,-60.28,19.4
14886644,10,27,15.5,-18.26,-174.68,26.6
6672469,3,21,0,37.51,-122.21,12.5
13687372,6,21,17.58,-9.58,171.89,29.2
18938045,9,28,22.5,-21.62,-129.3,
1268840,2,9,9.83,31.1,132.16,20.5
18107119,10,3,19,54.47,-44.01,10.4
11400161,3,12,11.58,18.4,-67.3,
16164321,11,5,7.5,71.81,-160.96,
8274430,5,9,9.88,-21.68,-37.18,26.1
7253577,6,8,14.17,37,-76,
14505689,9,15,21,41.9,8,
16573511,4,17,23.83,39,-76.4,
1136271,12,5,3.93,10.09,152.77,29.2
15489510,11,15,10,64.2,-15.2,
6614792,7,19,23,55.6,-6.2,
5275506,3,9,6.15,31.16,175.61,19.1
12095473,5,3,2,54.46,-167.24,3.8
16691216,2,21,12,20.9,-156.47,22.8
4592624,1,18,6,61.1,-146.7,
13797509,12,24,12.83,46.2,-124.5,10.7
11915798,9,28,19.18,21.4,-157.7,25.5
16236205,9,7,13.33,28.3,-83.3,
704617,11,22,13,35.12,-51.7,22
19035445,10,1,1,5.67,-43.11,29.4
3840205,12,26,4,24.63,-81.11,
12246877,10,8,7.27,16.92,70.09,28.5
1965005,10,30,1,-46.92,-167.46,10.1
19174238,1,5,11.68,30.57,-70.46,22.3
7799743,4,25,18.5,-47.35,108.98,7.6
10387385,1,12,15.5,17.07,70.85,26.5
3292409,8,9,14,-77.85,166.64,
1862045,2,27,10,41.14,-51.32,15.4
17923279,5,28,22,34.14,-42.67,21
18695680,9,21,9.62,-19.89,-28.21,23.3
398279,3,13,17.83,57.69,-174.76,1.7
15674795,7,20,2,27.1,-82.4,33.4
16901769,10,27,7,51.6,-5.1,13.9
10520633,10,16,15.42,33.24,-123.46,17.4
9471491,5,14,5.83,30.1,-87.6,25.2
1416665,2,13,15.58,43.53,-1.61,11
8908982,8,28,14,67.05,-172.41,1.5
14608202,8,18,0,61.13,-146.36,10.8
4468399,9,15,14.72,25.47,-35.16,27.5
1308662,11,10,18,18.09,-65.47,
13282819,11,9,22.37,-5.84,-124.4,25.8
14576029,7,17,16,27.76,-82.63,31.2
10897363,10,27,6,36.3,-7.5,22.2
7176281,2,6,5.43,-32.6,-100.77,21.7
14249336,6,7,12,46.3,-72.6,
3522623,4,16,5.33,-48.14,56.29,
19097993,2,3,23.77,6.4,-162.3,27.1
6391404,1,12,15,-48.2,129.37,10.4
11985602,6,30,12,44.5,-63.4,14.4
9011263,7,31,19,37.6,-76.3,29.5
9572786,9,18,9.23,-7.05,165.88,29.5
376537,6,12,22.67,40.99,-154.44,13.3
12051725,9,2,3.93,46.1,-124.7,17
